L2Proxy,LPIPS,PSNR,QualityPass,SSIM,index,logo_path,orig_path,split
0.07719559967517853,,22.248149082458152,0,0.9694578167059219,0000,/home/jack/paper-first-principles-notebook/paper-reproductions/safelogo/server_realtest_v2/images/logo/id_base_0000.png,/home/jack/paper-first-principles-notebook/paper-reproductions/safelogo/server_realtest_v2/images/orig/id_base_0000.png,id
0.048783253878355026,,26.234584423465925,0,0.9893135574994831,0001,/home/jack/paper-first-principles-notebook/paper-reproductions/safelogo/server_realtest_v2/images/logo/id_base_0001.png,/home/jack/paper-first-principles-notebook/paper-reproductions/safelogo/server_realtest_v2/images/orig/id_base_0001.png,id
0.06297039240598679,,24.017272094357715,0,0.8498594855787327,0002,/home/jack/paper-first-principles-notebook/paper-reproductions/safelogo/server_realtest_v2/images/logo/id_base_0002.png,/home/jack/paper-first-principles-notebook/paper-reproductions/safelogo/server_realtest_v2/images/orig/id_base_0002.png,id
0.06101096794009209,,24.29184193421161,0,0.9512985476148887,0003,/home/jack/paper-first-principles-notebook/paper-reproductions/safelogo/server_realtest_v2/images/logo/id_base_0003.png,/home/jack/paper-first-principles-notebook/paper-reproductions/safelogo/server_realtest_v2/images/orig/id_base_0003.png,id
0.05364226549863815,,25.409858060525494,0,0.965711226397647,0004,/home/jack/paper-first-principles-notebook/paper-reproductions/safelogo/server_realtest_v2/images/logo/id_base_0004.png,/home/jack/paper-first-principles-notebook/paper-reproductions/safelogo/server_realtest_v2/images/orig/id_base_0004.png,id
0.06678459048271179,,23.506474606753038,0,0.8120742009295091,0005,/home/jack/paper-first-principles-notebook/paper-reproductions/safelogo/server_realtest_v2/images/logo/id_base_0005.png,/home/jack/paper-first-principles-notebook/paper-reproductions/safelogo/server_realtest_v2/images/orig/id_base_0005.png,id
0.054750796407461166,,25.232191000516274,0,0.989342598516169,0006,/home/jack/paper-first-principles-notebook/paper-reproductions/safelogo/server_realtest_v2/images/logo/id_base_0006.png,/home/jack/paper-first-principles-notebook/paper-reproductions/safelogo/server_realtest_v2/images/orig/id_base_0006.png,id
0.0670202299952507,,23.475881458953197,0,0.9317451018882689,0007,/home/jack/paper-first-principles-notebook/paper-reproductions/safelogo/server_realtest_v2/images/logo/id_base_0007.png,/home/jack/paper-first-principles-notebook/paper-reproductions/safelogo/server_realtest_v2/images/orig/id_base_0007.png,id
0.05841561779379845,,24.66942034327026,0,0.9822113129385653,0008,/home/jack/paper-first-principles-notebook/paper-reproductions/safelogo/server_realtest_v2/images/logo/id_base_0008.png,/home/jack/paper-first-principles-notebook/paper-reproductions/safelogo/server_realtest_v2/images/orig/id_base_0008.png,id
0.04017191007733345,,27.921550648119762,0,0.959424828186814,0009,/home/jack/paper-first-principles-notebook/paper-reproductions/safelogo/server_realtest_v2/images/logo/id_base_0009.png,/home/jack/paper-first-principles-notebook/paper-reproductions/safelogo/server_realtest_v2/images/orig/id_base_0009.png,id
0.04571312293410301,,26.7991819404265,0,0.9802685954401847,0010,/home/jack/paper-first-principles-notebook/paper-reproductions/safelogo/server_realtest_v2/images/logo/id_base_0010.png,/home/jack/paper-first-principles-notebook/paper-reproductions/safelogo/server_realtest_v2/images/orig/id_base_0010.png,id
0.07332945615053177,,22.69443060557624,0,0.9520107738453141,0011,/home/jack/paper-first-principles-notebook/paper-reproductions/safelogo/server_realtest_v2/images/logo/id_base_0011.png,/home/jack/paper-first-principles-notebook/paper-reproductions/safelogo/server_realtest_v2/images/orig/id_base_0011.png,id
0.04341389238834381,,27.247425521356266,0,0.9826665001959186,0012,/home/jack/paper-first-principles-notebook/paper-reproductions/safelogo/server_realtest_v2/images/logo/id_base_0012.png,/home/jack/paper-first-principles-notebook/paper-reproductions/safelogo/server_realtest_v2/images/orig/id_base_0012.png,id
0.06795495003461838,,23.355577854987935,0,0.8522394533599782,0013,/home/jack/paper-first-principles-notebook/paper-reproductions/safelogo/server_realtest_v2/images/logo/id_base_0013.png,/home/jack/paper-first-principles-notebook/paper-reproductions/safelogo/server_realtest_v2/images/orig/id_base_0013.png,id
